GridID,TimeInterval,countrycode,sms_count,call_time
100,1383298800000,20,,
1006,1383304800000,7,,
1012,1383267000000,39,0.1129650739388164,
1009,1383303600000,0,,
10,1383297000000,0,,
10,1383341400000,39,0.9958062886990539,0.2412675859510267
1014,1383338400000,39,0.4605467273767084,0.1556124726555152
1,1383303000000,233,,
1013,1383333000000,353,,
1013,1383343200000,39,0.4436409611621146,0.0923342952157255
1007,1383324000000,593,,
1004,1383285000000,39,0.0203214767904872,
10,1383328800000,0,,
1010,1383316800000,0,,
1007,1383307800000,39,0.2698974874366551,0.374774157353901
101,1383312000000,0,,
1014,1383285000000,0,0.0251669199339316,
100,1383308400000,216,,
1019,1383312600000,39,0.6684859642641854,0.7123068972512148
1014,1383275400000,39,,0.0377503799008974
1015,1383276000000,39,0.0880842197687608,0.0420315084437225
10,1383324000000,39,0.5224278732689498,0.861959960397392
1,1383327000000,0,,
1000,1383339000000,0,,
101,1383338400000,20,,
1016,1383289200000,39,0.2452507318126112,0.1630679012528328
1003,1383290400000,39,0.196829297629498,0.0442842342560167
1,1383283800000,39,,
1009,1383330000000,39,0.4557805278358784,0.179449397363832
1001,1383333000000,39,0.4050252467717752,0.3039016305273231
1018,1383303000000,0,,
1008,1383310800000,0,,
1007,1383312000000,0,0.0390580184693991,
10,1383309000000,48,,
1011,1383339600000,39,0.3495519728673008,0.14108008488032642
1005,1383303000000,39,0.3414749308265707,0.645649607672099
1000,1383298800000,39,2.088572982425019,5.060864373019195
1008,1383315000000,33,4.851310890372E-4,
1019,1383300600000,39,0.5345802903098822,0.7874678660576159
1003,1383261000000,32,,
1019,1383304800000,0,,
1007,1383273600000,0,,
1006,1383312600000,44,0.0401465573832306,
1004,1383306000000,40,,
1,1383342000000,39,0.7647550100504136,0.4316165044630808
1005,1383302400000,353,,
10,1383316200000,34,,
1001,1383336000000,0,,
10,1383312000000,0,,
1008,1383298200000,233,,
1007,1383316800000,92,,
100,1383301800000,1,,
1013,1383288000000,39,0.42539946537817996,0.0720147588203757
1,1383334800000,0,,
1001,1383273600000,39,,
10,1383327600000,0,,
100,1383294600000,39,0.8427461346040599,1.3286588883463506
1016,1383288600000,0,,
10,1383313800000,0,,
1018,1383312000000,20,,
1006,1383314400000,39,0.2794049198922464,0.3166685315634364
1005,1383313200000,86,,
